userId,movieId,rating,timestamp
1,190389,3.8,1707140199
1,106508,4.4,1706513829
1,2389,3.5,1707373610
1,127679,5.0,1700378053
1,154612,3.9,1714386553
1,3312,4.1,1688194733
1,262795,3.6,1696911211
1,138504,3.9,1699143385
1,163176,4.9,1733298933
1,32777,3.5,1683878053
1,4480,5.0,1692677185
1,234607,4.9,1682808083
1,632,2.5,1687990707
1,190567,2.5,1707398842
1,250628,2.8,1733357068
1,177827,3.1,1715446715
1,128057,4.5,1730437454
1,292371,3.4,1684683784
1,228725,3.1,1728396387
1,281240,3.3,1713971704
1,144282,2.8,1694730680
1,153322,3.9,1718469693
1,121809,4.8,1734358301
1,115998,2.5,1720788887
1,286289,2.9,1740411314
1,267048,2.9,1683256347
1,241958,2.7,1698419650
1,106342,4.4,1703455829
1,165067,3.2,1724965195
1,189229,2.5,1696139225
1,164280,3.6,1703665034
1,124909,4.1,1683431617
1,5158,4.7,1716220702
1,155689,3.4,1731597537
1,185761,2.7,1741790250
1,98464,2.8,1720995053
1,143442,5.0,1722831411
1,217013,4.2,1708711273
1,225481,3.1,1743815468
1,169616,4.1,1736175327
1,187049,4.7,1697555379
1,4367,3.1,1713596309
1,930,3.6,1725749212
1,158811,3.7,1698404257
1,97694,4.7,1686147156
1,148695,4.0,1734162321
1,280932,4.1,1692066126
1,223826,4.4,1698493767
1,102403,2.5,1716832102
1,248228,4.2,1725099534
2,145084,2.5,1742448754
2,91860,2.9,1690625052
2,187303,2.5,1725938876
2,292371,4.3,1699502902
2,123071,3.1,1697652801
2,130652,4.5,1693795067
2,152399,3.8,1703916682
2,286471,5.0,1738638983
2,237466,4.6,1722934125
2,149875,5.0,1723609588
2,217041,3.2,1740467931
2,4828,4.7,1718790808
2,131380,3.6,1708935256
2,81145,4.8,1711741042
2,143470,3.9,1730077723
2,163412,4.0,1703941557
2,287587,2.5,1731656403
2,159137,5.0,1689602078
2,206240,3.7,1727061669
2,137751,4.4,1741837428
2,193467,3.0,1687081364
2,118964,5.0,1681609939
2,162714,4.1,1710710668
2,159337,4.7,1729527704
2,209391,5.0,1738288611
2,79647,5.0,1698182442
2,142931,3.7,1710508867
2,219374,2.8,1697489145
2,26142,3.0,1694754229
2,156063,4.6,1683265981
2,246588,3.7,1681457236
2,83556,5.0,1687728563
2,98107,2.5,1738210651
2,223324,4.5,1737829060
2,290265,3.7,1739260851
2,136690,3.1,1683004770
2,108995,3.3,1706552623
2,157091,5.0,1735018206
2,118985,3.2,1733392306
2,144466,3.1,1695943289
